text,category,urgency,department,cost_kzt,resolution_days,location_district,language
"на ул. хусейна бижанова прорв трубыы, весь двор затопило водой, жители жалуются. прошу обратить внимание Спасибо, что как всегда ничего не делается.",water_sewage,medium,ГКП «Астана су арнасы» (Водоканал),326000,2,Есильский,ru
"На улице Богенбай батыра возле школы №25 драка со стрельбой, человека ранили, нужна полиция, прошу обратить внимание",crime,medium,Департамент полиции г. Астаны (102),17000,11,Сарыаркинский,ru
"in сарыаркинский district broken benches and swings in the park, already filed on e-otinish. a minor issue, but still Apparently nobody cares.",park_landscaping,low,Управление благоустройства и озеленения,153000,21,Сарыаркинский,en
"In Есильский district near the playground a passer-by was mugged, phone and bag stolen, urgent, there is a threat to life",crime,critical,Департамент полиции г. Астаны (102),60000,10,Есильский,en
"В Алматинский р-не лифт не работает уже 78 дней, прошу принять меры. хотелось бы решить этот вопрос",elevator,medium,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),173000,5,Алматинский,ru
"on жубанова street near the school #25 a parked car is blocking the courtyard exit, please pay attention",parking_violation,medium,Местная полицейская служба / служба эвакуации,6000,1,Сарыаркинский,en
On Орынбор street the whole building lost power. a real threat to residents,power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),177000,1,Есильский,en
"в алматинский районе незаконно строят объект на земле общего пользования, эо уже опасно",illegal_construction,high,Управление архитектуры и градостроительства (ГАСК),936000,29,Алматинский,ru
"On Достык street in one spot garbage is not collected, please take action. a real threat to residents",garbage,high,Управление благоустройства г. Астаны (Тазалық),21000,2,Алматинский,en
"динмухамеда кунаева көшесінде базар маңында көше шамы жаннбайды, кешке қараңғы. төтенше жағдай",streetlight,critical,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,85000,2,Байконырский,kk
"in алматинский district there is several a big pothole, please help. urgent, there is a threat to life",pothole,critical,Управление пассажирского транспорта и автодорог (Дорожный комитет),411000,11,Алматинский,en
"Туран көшесінде аула шығуын көлікпен бөгеп қойды, мүмкіндік болса қараңыздар Әрине, әдеттегідей ешкім қам жемейді.",parking_violation,low,Местная полицейская служба / служба эвакуации,11000,0,Алматинский,kk
"В Нуринский районе ребёнок задыхается, помогите, вызовите скорую, люди в опасности",medical_emergency,critical,Станция скорой медицинской помощи (103),13000,0,Нуринский,ru
"In Сарыаркинский district the elevator hasn't worked for 58 days, no one responds. not urgent but annoying",elevator,low,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),121000,6,Сарыаркинский,en
"On Динмухамеда Кунаева street sewage flooded the yard, this is outrageous. residents are uncomfortable",water_sewage,medium,ГКП «Астана су арнасы» (Водоканал),373000,3,Есильский,en
"На ул. Абая перегорело уличное освещение, ничего не видно ночью. ситуация серьёзная, прошу срочно решить",streetlight,high,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,57000,5,Сарыаркинский,ru
"In Есильский district in one spot street lamps are out for a week, please look into it Apparently nobody cares.",streetlight,low,Управление энергетики и ЖКХ / ТОО «Астана Жарық»,50000,4,Есильский,en
