text,category,urgency,department,cost_kzt,resolution_days,location_district,language
"На улице Мангилик Ел возле университета горит здание, в одном месте дыма, люди в опасности, прошу обратить внимание",fire,medium,ДЧС г. Астаны — Пожарная служба (101),1640000,3,Алматинский,ru
"Broken road On Иманова street, in one spot potholes damaging cars. please pay attention",pothole,medium,Управление пассажирского транспорта и автодорог (Дорожный комитет),195000,7,Сарыаркинский,en
"достык көшесінде қар 87 ккүн тазаланбайды, өтуге болмайды, өтінемін қарастырыңыз. тұрғындарға қаттер бар",snow_ice,high,Управление благоустройства / Дорожный комитет (очистка снега и наледи),86000,0,Сарыаркинский,kk
"На ул. Динмухамеда Кунаева возле рынка «Артём» нет отопления в доме, в квартире холодно, обращались уже не раз. угроза для жителей",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,400000,3,Сарыаркинский,ru
"В Сарыаркинский районе машины стоят на газоне, не срочно, но раздражает",parking_violation,low,Местная полицейская служба / служба эвакуации,11000,0,Сарыаркинский,ru
"В Сарыаркинский р-не люк на тротуаре открыт, можно провалиться, не срочно, но раздражает",other,low,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",36000,6,Сарыаркинский,ru
"На улице Республики ребёнок задыхается, помогите, вызовите скорую, опасно для детей",medical_emergency,critical,Станция скорой медицинской помощи (103),16000,0,Есильский,ru
"байконырский ауданында саябақта орындықтар сынған, көптен бері осылай. назар аударыңыздар Бәріне бәрібір сияқты.",park_landscaping,medium,Управление благоустройства и озеленения,235000,9,Байконырский,kk
"На улице Акжол бегают бездомные собаки,, кидаются на людей, фото прилагаю. по возможности устраните",stray_animals,low,Управление ветеринарии / отлов безнадзорных животных,23000,4,Сарыаркинский,ru
"нуринский ауданында адам есінен танып қалды, жедел жәрдем керек, бұл өте қауіпті",medical_emergency,critical,Станция скорой медицинской помощи (103),6000,0,Нуринский,kk
"В Алматинский районе нет электричества уже 59 часов, помогите пожалуйста. прошу обратить внимание",power_outage,medium,АО «Астанаэнергосбыт» / городские электросети (АРЭК),162000,2,Алматинский,ru
"на улице сарырка громкая музыка из кафе до утра. просьба разобраться Ну конечно, всем всё равно.",noise,medium,Департамент полиции г. Астаны,3000,1,Байконырский,ru
"On Сыганак street a woman has hcest pain, send an ambulance, the whole yard suffers. dangerous for children",medical_emergency,critical,Станция скорой медицинской помощи (103),14000,1,Алматинский,en
"в есильский р-не возле тц «хан шатыр» остановка в плохом состоянии, навеса нет, когда будет возможность, посмотрите",public_transport,low,Управление пассажирского транспорта,120000,14,Есильский,ru
"Кошкарбаева көшесінде мүгедектерге арналған пандус жоқ, 109-ға қоңырау шалдық, нәтиже жоқ",other,medium,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",38000,4,Сарыаркинский,kk
"В Сарыаркинский районе нет пандуса для колясок и инвалидов, акимат бездействует",other,low,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",49000,7,Сарыаркинский,ru
на улице кабанбай батыра возле рынка «артём» отключили свет во всём доме. это уже опасно,power_outage,high,АО «Астанаэнергосбыт» / городские электросети (АРЭК),192000,1,Сарыаркинский,ru
"Е10 көшесінде тротуар мұзға айналды, адамдар құлап жатыр, тұрғындарға қатер бар",snow_ice,high,Управление благоустройства / Дорожный комитет (очистка снега и наледи),174000,1,Алматинский,kk
"Сауран көшесінде базар маңында аялдама нашар жағдайда, мүмкіндік болса қараңыздар",public_transport,low,Управление пассажирского транспорта,283000,17,Байконырский,kk
"Алматинский ауданында қар 45 күн тазланбайды, өтуге олмайды, қашанға дейін шыдау керек. шұғыл емес, бірақ мазалайды",snow_ice,low,Управление благоустройства / Дорожный комитет (очистка снега и наледи),105000,2,Алматинский,kk
"On Орынбор sstreet cars parked on the lawn, residents are uncomfortable",parking_violation,medium,Местная полицейская служба / служба эвакуации,17000,1,Нуринский,en
"In Нуринский district a shooting near the club, someone is injured, the situation is serious, please fix urgently",crime,high,Департамент полиции г. Астаны (102),161000,18,Нуринский,en
"On Жанибека и Керея street sewage flooded the yard, residents are complaining. an accident already happened",water_sewage,critical,ГКП «Астана су арнасы» (Водоканал),1069000,3,Сарыаркинский,en
"Мангилик Ел көшесінде аялдама маңында қар 11 күн тазаланбайды, өтуге болмайды, ешкім әрекет етпейді. қолайсыздық туғызып тұр",snow_ice,medium,Управление благоустройства / Дорожный комитет (очистка снега и наледи),97000,3,Алматинский,kk
"На улице Жанибека и Керея нет пандуса для колясок и инвалидов, соседи подтвердят",other,low,"Аппарат акима г. Астаны (e-Otinish, общий отдел)",30000,6,Алматинский,ru
"Жубанова көшесінде аурухана маңында аула шығуын көлікпен бөгеп қойды, қолайсыздық туғызып тұр Әрине, әдеттегідей ешкім қам жемейді.",parking_violation,medium,Местная полицейская служба / служба эвакуации,4000,1,Алматинский,kk
"On Динмухмаеда Кунаева street near the bus stop the aphalt collapsed, the whole yard suffers",pothole,medium,Управление пассажирского транспорта и автодорог (Дорожный комитет),389000,8,Сарыаркинский,en
"Мангилик Ел көшесінде ортақ жерде заңсыз нысан салынуда, қолайсыздық туғызып тұр",illegal_construction,medium,Управление архитектуры и градостроительства (ГАСК),958000,17,Сарыаркинский,kk
"40-автобус Акжол көшесінде кестемен жүрмейді, көмектесіңіздерші. назар аударыңыздар",public_transport,medium,Управление пассажирского транспорта,186000,15,Байконырский,kk
"На ул. Иманова незаконно строят объект на земле общего пользования, это уже опасно",illegal_construction,high,Управление архитектуры и градостроительства (ГАСК),2056000,25,Байконырский,ru
"На улице Акжол возле перекрёстка нет электричества уже 44 часов, это продолжается неделями. требуется немедленно вмешаться",power_outage,critical,АО «Астанаэнергосбыт» / городские электросети (АРЭК),356000,1,Есильский,ru
"Маршрут №57 На улице Иманова возле перекрёстка отменили, людям не доехать. угроза для жителей",public_transport,high,Управление пассажирского транспорта,184000,10,Байконырский,ru
"На улице Абая человеку плохо, без сознания, срочно нужна скорая, ситуация серьёзная, проошу срочно решить",medical_emergency,high,Станция скорой медицинской помощи (103),10000,0,Нуринский,ru
"On Хусейна Бижанова street near the clinic a water pipe burst, in one spot water is flooding. the situation is serious, please fix urgently",water_sewage,high,ГКП «Астана су арнасы» (Водоканал),315000,1,Сарыаркинский,en
"Автобус №52 На ул. Е10 не ходит по расписанию, акимат бездействует. по возможности устраните",public_transport,low,Управление пассажирского транспорта,85000,3,Есильский,ru
"На улице Кошкарбаева газовая труба овреждена, идёт газ, прошу обратить внимание",gas_leak,medium,Аварийная газовая служба 104 / АО «КазТрансГаз Аймак»,116000,0,Сарыаркинский,ru
Есильский ауданында емхана маңында кафеден қатты музыка таңға дейін. шара қолданыңыз Бәріне бәрібір сияқты.,noise,low,Департамент полиции г. Астаны,2000,0,Есильский,kk
Сейфуллина көшесінде емхана маңында кафеден қатты музыка таңға дейін. ешкім әрекет етпейді,noise,medium,Департамент полиции г. Астаны,3000,0,Байконырский,kk
"Есильский ауданында ыстық су 92 күнге өшірілді, тұрғындарға қатер бар",heating_utilities,high,АО «Астана-Теплотранзит» / Управление энергетики и ЖКХ,470000,6,Есильский,kk
"Богенбай батыра көшесінде балабақша маңында көршілер түнде шулайды, ұйықтау мүмкін емес. шұғыл емес, бірақ мазалайды",noise,low,Департамент полиции г. Астаны,1000,0,Алматинский,kk
"В Сарыаркинский районе возле городской больницы возводят здание вплотную к домам, наруушены нормы. нужно срочно",illegal_construction,high,Управление архитектуры и градостроительства (ГАСК),1031000,20,Сарыаркинский,ru
"Абая көшесінде аялдама маңында лифт бұзылған, қарттарға ауыр, тұрғындарға қатер бар",elevator,high,Жилищная инспекция / КСК-ОСИ (лифтовое хозяйство),236000,5,Байконырский,kk
"В Алматинский районе возле перрекрёстка мусор не вывозят, это продолжается неделями. нужно срочно",garbage,high,Управление благоустройства г. Астаны (Тазалық),35000,3,Алматинский,ru
